Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%)
Amrumbank West,Europe,Germany,Amrumbank West,Operational,Amrum-Offshore West,,2015.0,,Renewables,Wind,,,Off-shore,,,,,,,,,301.32,,,20/09/2021,,Nordsee,49.9053558,8.3880635,1326.7332775221,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkona,Europe,Germany,Arkona,Operational,E.ON,,2019.0,,Renewables,Wind,,,Off-shore,,,,,,,,,385.0,,,20/09/2021,Construction started in August 2016. First turbine brought online in September 2018. Inaugurated in April 2019.,Offshore Rugen Island,54.3519967,13.3630491,1327.3822363072,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard Offshore-1,Europe,Germany,Bard Offshore-1,Operational,Macquarie Infrastructure,,2013.0,,Renewables,Wind,,,Off-shore,,,,,,,,,400.0,,,20/09/2021,First phase of 240 MW completed in August 2013. Acquired by Macquarie Infrastructure in August 2019.,Nordsee,49.9053558,8.3880635,3850.4485772593,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borkum Riffgat,Europe,Germany,Borkum Riffgat,Operational,Offshore Windpark RIFFGAT,,2014.0,,Renewables,Wind,,,Off-shore,,,,,,,,,113.4,,,20/09/2021,The wind farm is finished since July 2013 but it remains grid connection work.,Nordsee,49.9053558,8.3880635,464.35664713273,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borkum Riffgrund-1,Europe,Germany,Borkum Riffgrund-1,Operational,Borkum Riffgrund I Offshore Windpark A/S GmbH & Co. oHG,,2015.0,,Renewables,Wind,,,Off-shore,,,,,,,,,312.0,,,20/09/2021,,Nordsee,49.9053558,8.3880635,1386.3334142952,2015.0,,,,,,,,,321.0,522.0,542.0,487.7,491.0,,,,,,,,,,0.11744819107833,0.19099051633298,0.19830816063693,0.17844075635172,0.17964816766187,
Borkum Riffgrund-2,Europe,Germany,Borkum Riffgrund-2,Operational,Orsted,,2018.0,,Renewables,Wind,,,Off-shore,,,,,,,,,450.0,,,20/09/2021,Orsted divested 50% of the project to Global Infrastructure Partners (GIP) in December 2017. All turbines produce power as of November 2018 and commercial operations are expected shortly. The commissioning of the project is expected for early December 2018.,Borkum,54.02068,6.59729,1996.3201165851,2015.0,,,,,,,,,,,,189.9,623.0,,,,,,,,,,,,,0.048173515981735,0.15804160324708,
Borkum West-2 - phase 1,Europe,Germany,Borkum West-2,Operational,Trianel,,2015.0,,Renewables,Wind,,,Off-shore,,,,,,,,,200.0,,,20/09/2021,Commissioned in July 2015.,Nordsee,49.9053558,8.3880635,1109.0667314362,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Tech I-2,Europe,Germany,Global Tech I,Operational,Global Tech I Offshore Wind,,2014.0,,Renewables,Wind,,,Off-shore,,,,,,,,,300.0,,,20/09/2021,,Nordsee,49.9053558,8.3880635,1414.0600825811,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gode Wind 1,Europe,Germany,Gode Wind 1,Operational,Gode Wind 1 Offshore Wind Farm,,2016.0,,Renewables,Wind,,,Off-shore,,,,,,,,,344.5,,,20/09/2021,Commissioned in June 2017.,East Frisian Islands,53.7333333,7.4166667,1386.3334142952,2015.0,,,,,,,,,,67.0,559.0,584.4,629.0,,,,,,,,,,,0.02220145668065,0.18523304902214,0.19364972065928,0.20842860077805,
Gode Wind 2,Europe,Germany,Gode Wind 2,Operational,Gode Wind 2 Offshore Wind Farm,,2016.0,,Renewables,Wind,,,Off-shore,,,,,,,,,263.1,,,20/09/2021,Total cost of Gode Wind 1 & 2 projects of DKK16.4bn (2013).,Offshore Norderney Is,52.6367036,9.8450765,1053.6133948644,2015.0,,,,,,,,,,75.0,419.0,443.7,477.0,,,,,,,,,,,0.032541405684593,0.18179798642459,0.19251495603005,0.20696334015401,
EnBW Baltic-1,Europe,Germany,EnBW Baltic-1,Operational,EnBW,,2011.0,,Renewables,Wind,,,Off-shore,,,,,,,,,48.3,,,20/09/2021,,Ostsee,54.3519967,13.3630491,278.02684349174,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnBW Baltic-2 (Kriegers Flak-1),Europe,Germany,EnBW Baltic-2 (Kriegers Flak-1),Operational,EnBW,,2015.0,,Renewables,Wind,,,Off-shore,,,,,,,,,288.0,,,20/09/2021,,Ostsee,54.3519967,13.3630491,1511.518374622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meerwind SüdIOst,Europe,Germany,Meerwind SüdIOst,Operational,WindMW,,2014.0,,Renewables,Wind,,,Off-shore,,,,,,,,,288.0,,,20/09/2021,"Construction started in August 2012 and was completed in April 2014. In June 2016, Blackstone sold its 80% in the plant to China Three Gorges.",Nordsee vor Helgoland,54.1803268,7.8889438,1592.0799330265,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordergrunde,Europe,Germany,Nordergrunde,Operational,WPD,,2017.0,,Renewables,Wind,,,Off-shore,,,,,,,,,111.0,,,20/09/2021,John Laing acquired a 30% stake from wpd in August 2016.,Offshore Luneburg,53.25,10.4,454.71735988883,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
