Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Morbach II,Europe,Germany,Morbach,Operational,Juwi,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Morbach,49.8082421,7.1271382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Emden - I,Europe,Germany,Emden - I,Operational,Stadtwerke Emden,,1994.0,,Renewables,Wind,,,On-shore,,,,,,,,,29.6,,,20/09/2021,,Emden,53.3594029,7.2060095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Rositz,Europe,Germany,Rositz,Operational,SCE Wind Rositz GmbH & Co.KG,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,14.2,,,20/09/2021,,Rositz,51.0209839,12.3752539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Neurath - II,Europe,Germany,Neurath - II,Operational,,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Neurath,51.03,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Artern,Europe,Germany,Artern,Operational,e.disnatur Erneuerbare Energien GmbH,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Artern,51.3673649,11.2954854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Arneburg - I,Europe,Germany,Arneburg,Operational,SachsenFonds,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,31.5,,,20/09/2021,,Arneburg,52.6741465,11.998408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Arneburg - II,Europe,Germany,Arneburg,Operational,SachsenFonds,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,85.5,,,20/09/2021,,Arneburg,52.6741465,11.998408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Apen,Europe,Germany,Apen,Operational,Windpark Fehnland GmbH & Co. KG Renditefonds,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,19.8,,,20/09/2021,,Apen,53.2208246,7.8088617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Anemolter,Europe,Germany,Anemolter,Operational,Enercon,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,26.1,,,20/09/2021,,Steyerberg,52.5685656,9.0237923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Anröchte,Europe,Germany,Anröchte,Operational,,,1997.0,,Renewables,Wind,,,On-shore,,,,,,,,,20.8,,,20/09/2021,,Anröchte,51.5579188,8.3253286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Alterkülz,Europe,Germany,Alterkülz,Operational,ENGIE,,2008.0,,Renewables,Wind,,,On-shore,,,,,,,,,14.0,,,20/09/2021,,Alterkülz,50.0319193,7.4629652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Altes Lager,Europe,Germany,Altes Lager,Operational,Windpark Altes Lager GmbH & Co. KG,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,36.0,,,20/09/2021,,Altes Lager,52.0058159,13.0153065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Altdorf,Europe,Germany,Altdorf,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.5,,,20/09/2021,,Altdorf,54.22,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Alsleben-Saale,Europe,Germany,Alsleben-Saale,Operational,Dortmunder Energie- und Wasserversorgung,,2016.0,,Renewables,Wind,,,On-shore,,,,,,,,,21.0,,,20/09/2021,,Alsleben,51.7001845,11.6791595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Mittelstenahe,Europe,Germany,Mittelstenahe,Operational,Windpark Mittelstenahe GmbH & Co. Betriebs-KG,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Mittelstenahe,53.6509682,9.0369423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Scheerhorn,Europe,Germany,Scheerhorn,Operational,Global Wind,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Scheerhorn,52.57,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
